user_id,user_session,pages_viewed,cart_additions,session_duration,purchase_status,past_purchase_count,has_cart,engagement_score,is_returning_user
275256741,48b5b9c0-3d1b-4380-94f8-dcadb9dd7b5c,1.0,0.0,0.0,0.0,0.0,0,0.0,0
295643776,775c16bc-4ba0-48dd-a13e-e387b6e482e6,1.0,0.0,0.0,0.0,0.0,0,0.0,0
295643776,792efec7-50ac-461d-af96-061d1e1d12cf,7.0,0.0,178.0,0.0,0.0,0,1246.0,0
356520186,3e3403b6-2a19-4a1d-aef2-ee4dce0dc943,5.0,0.0,595.0,1.0,1.0,0,2975.0,1
389979783,55e573a5-c8b1-4896-9df7-2c33e32223d1,4.0,0.0,51.0,0.0,0.0,0,204.0,0
394300322,bb2a0549-0801-42b0-b34d-1801a2841bc0,11.0,0.0,1239.0,0.0,0.0,0,13629.0,0
415485440,5f16dfff-c954-4bf3-8892-c4fa6ebb8a76,6.0,0.0,532.0,0.0,0.0,0,3192.0,0
416124964,7f3899ce-127d-43fd-a22a-141bf73009b8,1.0,0.0,0.0,0.0,0.0,0,0.0,0
422073359,da70126d-81ec-499f-95d2-4630bddbf9c4,1.0,0.0,0.0,0.0,0.0,0,0.0,0
422713919,91b3f117-55b1-4191-a26a-604f3a130dcc,1.0,0.0,0.0,0.0,0.0,0,0.0,0
434890838,9e7612c2-309b-4170-921c-12ce7f77b415,1.0,0.0,0.0,0.0,0.0,0,0.0,0
436701163,50de79b1-b0ec-42c0-bbe0-8b5d2dc33e1e,1.0,0.0,0.0,0.0,0.0,0,0.0,0
437519926,5fa58eaa-f058-4025-9a7f-289185c2076b,6.0,0.0,226.0,0.0,0.0,0,1356.0,0
439028558,2959d940-be4f-42c5-a477-9f14067567b2,2.0,0.0,109.0,0.0,0.0,0,218.0,0
439160894,415b416c-330e-4323-ae8b-846d942a07e1,1.0,0.0,0.0,0.0,0.0,0,0.0,0
439247989,66005ed0-8d94-4d19-865e-d722d118a849,9.0,0.0,552.0,0.0,0.0,0,4968.0,0
439247989,c93e642e-b0f3-430c-8f10-ce0bcc5b5904,5.0,0.0,273.0,0.0,0.0,0,1365.0,0
440309186,4e9f127c-e255-40cf-b601-acc926291611,1.0,0.0,0.0,0.0,0.0,0,0.0,0
441726550,d031ff86-ba01-4af2-840e-b735ab3388b0,2.0,0.0,58.0,0.0,0.0,0,116.0,0
442818338,7c673837-57a3-468f-8e4f-ea7f34bf24b6,1.0,0.0,0.0,0.0,0.0,0,0.0,0
444045778,70d16627-32ed-4a71-b7cb-3c85f61b3cdb,1.0,0.0,0.0,0.0,0.0,0,0.0,0
447256266,ce98025b-08f1-4dee-9916-f2dfce350d33,1.0,0.0,0.0,0.0,0.0,0,0.0,0
450284033,6be7d808-ddcb-40ec-9b95-98e92c1ed9fb,1.0,0.0,0.0,0.0,0.0,0,0.0,0
451883436,68524876-a5b7-4065-8594-c42e492de5a7,1.0,0.0,0.0,0.0,0.0,0,0.0,0
452674871,a2326eb2-887b-4d5b-89d1-831a6e13b755,1.0,0.0,0.0,0.0,0.0,0,0.0,0
454010850,f9d8f808-0a88-4de2-abb8-558dfb80dc00,1.0,0.0,0.0,0.0,0.0,0,0.0,0
454621403,5f2f9677-05aa-45f0-9aa9-9a6dc823344f,2.0,0.0,85.0,0.0,0.0,0,170.0,0
456288701,a2aa3517-342a-4e26-a9da-5b0f710672f9,1.0,0.0,0.0,0.0,0.0,0,0.0,0
458199353,d2b43948-3c3c-4567-a76e-a3657942e5e1,1.0,0.0,0.0,0.0,0.0,0,0.0,0
458224700,9a5f47fc-6009-496b-9734-77953aa4a3f2,1.0,0.0,0.0,0.0,0.0,0,0.0,0
458847702,ae22d6ab-7447-4fcd-9196-79d674ea13aa,2.0,0.0,52.0,0.0,0.0,0,104.0,0
460100083,1564ad45-f30a-400d-b578-7f3de6029835,1.0,0.0,0.0,0.0,0.0,0,0.0,0
461956439,4295c575-5039-4aab-9972-84ede476849c,1.0,0.0,0.0,0.0,0.0,0,0.0,0
462467139,4f4bc744-95b5-40cc-8f8b-8f576f956ef7,1.0,0.0,0.0,0.0,0.0,0,0.0,0
464233707,46349b14-5c14-42ac-851a-448bfa6ca3a2,12.0,0.0,323.0,0.0,0.0,0,3876.0,0
464783634,dcfce8f9-2114-4344-8c64-bd7d18da42d2,1.0,0.0,0.0,0.0,0.0,0,0.0,0
470414763,c32fb851-4d5a-49ff-83dd-6f60a37473fa,1.0,0.0,0.0,0.0,0.0,0,0.0,0
471478082,fa8cb89a-dfb5-4002-9ffc-82d053a1e768,1.0,0.0,0.0,0.0,0.0,0,0.0,0
472734035,26c4c410-703f-44d0-8599-80b12c49e260,1.0,0.0,0.0,0.0,0.0,0,0.0,0
472734035,aea90250-8f29-4412-8fc6-e4567ea7b2eb,2.0,0.0,136.0,0.0,0.0,0,272.0,0
473213946,c82896c4-219c-47b3-af65-e7f3735a48e9,1.0,0.0,0.0,0.0,0.0,0,0.0,0
474141019,7d4df56d-b1dc-4c25-9313-9511ccab366d,1.0,0.0,0.0,0.0,0.0,0,0.0,0
